X,Y,POINT_X,POINT_Y,dtm10mUTM3
625433.59994631156,5115428.2015543971,625433.59994600003,5115428.20155000030,1677.00000
625545.98548068106,5118298.6959082372,625545.98548100004,5118298.69591000020,2064.00000
625871.62234571809,5115155.6551022828,625871.62234600005,5115155.65510000010,1497.00000
626885.22664496966,5117003.8633911023,626885.22664500005,5117003.86338999960,2545.00000
625604.35091613443,5116468.9327524388,625604.35091599997,5116468.93274999970,1451.00000
626393.17139162321,5116892.2291038064,626393.17139200005,5116892.22910000010,2046.00000
625622.95417708042,5114974.155680676,625622.95417699998,5114974.15567999990,1711.00000
625735.28668667818,5115814.5179039324,625735.28668699996,5115814.51790000030,1436.00000
624649.57198703603,5118394.9867618624,624649.57198699994,5118394.98675999980,2244.00000
626332.879376597,5116154.6473426837,626332.87937700003,5116154.64733999970,1660.00000
624590.18596839369,5116315.6176879052,624590.18596799998,5116315.61768999980,2064.00000
625091.42674037931,5115654.1796902586,625091.42674000002,5115654.17968999970,1868.00000
626354.19206814282,5117109.0193883944,626354.19206799997,5117109.01939000000,2019.00000
623137.56434627273,5118278.3115101829,623137.56434599997,5118278.31151000040,2352.00000
623823.62006200431,5116768.9729992701,623823.62006200000,5116768.97300000020,1910.00000
624823.36004555691,5118599.0442945976,624823.36004599999,5118599.04428999960,2382.00000
623386.83076452173,5118114.0892016441,623386.83076499996,5118114.08920000030,2213.00000
623864.66544758156,5118747.2363543678,623864.66544799996,5118747.23634999990,2368.00000
623921.04919263534,5115667.6639177129,623921.04919299996,5115667.66392000020,2585.00000
624088.91187205934,5118083.8337575654,624088.91187199997,5118083.83375999980,2011.00000
626021.69551015564,5116151.3738157786,626021.69550999999,5116151.37382000030,1475.00000
625600.14947035327,5117170.2705014702,625600.14946999995,5117170.27049999960,1587.00000
625878.99257010012,5117624.8905798858,625878.99257000000,5117624.89058000040,2173.00000
626087.18555591616,5117966.3930648901,626087.18555599998,5117966.39305999970,2481.00000
635674.30652046099,5113065.0303910114,635674.30651999998,5113065.03039000000,761.00000
629986.27845671098,5110848.9422508013,629986.27845700004,5110848.94225000030,2108.00000
642630.5956260676,5097552.3092767196,642630.59562599997,5097552.30927999970,544.00000
636692.99439206067,5111404.6295514889,636692.99439200002,5111404.62954999970,769.00000
635652.99480275228,5104145.3377673589,635652.99480300001,5104145.33777000010,1518.00000
632999.7675332604,5113495.786685193,632999.76753299998,5113495.78669000040,1404.00000
636868.33315532154,5103883.0154457102,636868.33315500000,5103883.01544999980,1215.00000
634951.21708102932,5102836.1828649482,634951.21708099998,5102836.18286000010,1221.00000
633780.99862540769,5096038.8302297955,633780.99862500001,5096038.83023000040,1301.00000
633581.80114267918,5099803.5066121407,633581.80114300002,5099803.50660999960,571.00000
639149.80927044502,5098183.3470943915,639149.80926999997,5098183.34709000030,1326.00000
638537.13746332342,5104240.9874682818,638537.13746300002,5104240.98747000010,1816.00000
638014.18896766915,5097311.5284489673,638014.18896800000,5097311.52845000010,1512.00000
637113.3463353191,5108988.0502065262,637113.34633500001,5108988.05021000000,1272.00000
638712.21292078344,5099716.5463648438,638712.21292099997,5099716.54636000000,974.00000
633684.59937420161,5103393.7902278109,633684.59937399998,5103393.79023000040,835.00000
638060.83249942039,5097673.2334590601,638060.83249900001,5097673.23345999980,1577.00000
634366.59169079934,5097290.3057034267,634366.59169100004,5097290.30570000040,1323.00000
633895.68707470922,5101268.675328128,633895.68707500002,5101268.67533000000,1074.00000
640717.42666057509,5095959.3888275912,640717.42666100000,5095959.38882999960,745.00000
636153.1982781312,5100735.7617149893,636153.19827800000,5100735.76171000020,528.00000
637079.57109780563,5109306.3608072642,637079.57109800004,5109306.36081000040,1150.00000
629206.12703633122,5112161.3103958834,629206.12703600002,5112161.31039999980,1954.00000
634479.76593455346,5109790.6864525182,634479.76593500003,5109790.68644999990,1233.00000
632390.94847312302,5108004.689619381,632390.94847299997,5108004.68962000030,1897.00000
630547.29041701101,5106297.6827363931,630547.29041699995,5106297.68274000010,1111.00000
629477.64423132571,5113675.3381672837,629477.64423099998,5113675.33817000040,1107.00000
632262.16675945034,5106437.6078269761,632262.16675900004,5106437.60783000010,1219.00000
636026.77237817412,5108316.3506463859,636026.77237799997,5108316.35065000040,850.00000
637856.53212814208,5106364.3969058972,637856.53212800005,5106364.39690999970,1687.00000
637949.68344270205,5101340.8034112491,637949.68344299996,5101340.80341000020,485.00000
630858.93805128441,5111337.1637065746,630858.93805100000,5111337.16371000000,1842.00000
636120.46407153748,5112669.5489921831,636120.46407200000,5112669.54899000000,754.00000
632952.29067765269,5104096.0966425091,632952.29067799996,5104096.09664000010,606.00000
640416.76272296999,5105098.110108709,640416.76272300002,5105098.11010999980,1190.00000
634803.0398188848,5104155.598382053,634803.03981900006,5104155.59838000030,1297.00000
639706.54208458203,5110550.8079010323,639706.54208499996,5110550.80790000040,1352.00000
637830.14154229604,5098534.9056164296,637830.14154200000,5098534.90562000030,1485.00000
636459.82454989431,5103450.8452639878,636459.82455000002,5103450.84525999990,1175.00000
641990.94226151588,5095877.7289964696,641990.94226200006,5095877.72900000030,678.00000
636421.70354256337,5098656.4256125838,636421.70354300004,5098656.42561000030,919.00000
630860.31019505195,5106127.092174273,630860.31019500003,5106127.09217000010,1158.00000
635683.23692180379,5113311.8875776948,635683.23692199995,5113311.88757999990,768.00000
631923.72710314766,5104055.7786131948,631923.72710300004,5104055.77861000040,1059.00000
633925.54469951103,5111573.9902594099,633925.54469999997,5111573.99026000030,1742.00000
635031.05513657827,5112967.9049133752,635031.05513700005,5112967.90491000000,971.00000
638613.40660921577,5095617.5067553101,638613.40660900006,5095617.50676000030,907.00000
631573.14725188259,5100627.2069662679,631573.14725200005,5100627.20696999970,1066.00000
637836.66855127504,5102808.5767219737,637836.66855099995,5102808.57672000020,1103.00000
634087.94327993924,5109758.3655134588,634087.94328000001,5109758.36550999990,1417.00000
637992.49997597083,5112990.4612030378,637992.49997600005,5112990.46119999980,1317.00000
641901.32803068904,5097847.4275875092,641901.32803099998,5097847.42759000040,566.00000
636279.05486811709,5106847.2998373648,636279.05486799998,5106847.29984000050,1396.00000
636362.15726364765,5111600.7379024848,636362.15726400004,5111600.73790000010,732.00000
640872.98592020548,5097807.0803681649,640872.98592000001,5097807.08036999960,716.00000
641090.07791660656,5098706.8552334309,641090.07791700005,5098706.85522999990,750.00000
633770.99219287862,5100919.960172887,633770.99219300004,5100919.96016999990,811.00000
633792.07277626009,5112840.7290265821,633792.07277600002,5112840.72903000000,1735.00000
635933.39360792702,5098555.501860667,635933.39360800001,5098555.50186000020,870.00000
636207.95904616232,5096411.5205405084,636207.95904600003,5096411.52053999990,1643.00000
641088.67931110249,5095815.0698514003,641088.67931100004,5095815.06984999960,726.00000
641468.54472393042,5102741.7556627737,641468.54472400004,5102741.75566000030,1148.00000
640396.97567789187,5095926.8960892661,640396.97567800002,5095926.89608999990,792.00000
640768.67362243542,5095682.9028925449,640768.67362200003,5095682.90288999960,779.00000
639713.05449196056,5112319.4346531229,639713.05449200002,5112319.43465000020,1769.00000
640696.66748265596,5103908.0259904992,640696.66748299997,5103908.02599000000,935.00000
636466.30423698109,5112434.7706219675,636466.30423699995,5112434.77061999960,771.00000
634961.98488448455,5101932.6089988081,634961.98488400003,5101932.60900000020,1207.00000
640337.16174775688,5110809.2386992145,640337.16174799995,5110809.23869999960,1766.00000
636002.42534445541,5108836.6620524293,636002.42534399999,5108836.66205000040,757.00000
635686.17189027276,5109822.0340337474,635686.17189000000,5109822.03402999970,710.00000
636131.44340059988,5096634.5640581176,636131.44340100000,5096634.56405999980,1467.00000
641196.60667964851,5102590.5233426923,641196.60667999997,5102590.52333999980,1025.00000
635006.50908202445,5096535.1932790782,635006.50908200000,5096535.19328000020,1546.00000
635424.00882918248,5105410.8817257918,635424.00882900006,5105410.88172999960,1328.00000
631841.31286412582,5110152.2107913578,631841.31286399998,5110152.21078999990,2247.00000
632972.10362524225,5100408.798587814,632972.10362499999,5100408.79858999980,645.00000
640542.1708464704,5098039.0821020557,640542.17084599996,5098039.08210000020,771.00000
634068.6332578857,5105246.4482404981,634068.63325800002,5105246.44823999980,687.00000
632714.42197982664,5113766.8169227829,632714.42197999998,5113766.81692000010,1177.00000
634635.85161588318,5103331.99971433,634635.85161600006,5103331.99971000010,1254.00000
640133.40944517078,5095725.1698656911,640133.40944500000,5095725.16987000030,911.00000
640322.44820049952,5096926.148280126,640322.44819999998,5096926.14828000030,718.00000
